room,building,seats,type,status,free_from,free_until,bookings_that_day
HG F 033.5,HG,36,Meeting room,FREE,12:00,16:00,00:00-08:00 closed/not bookable; 09:45-12:00 Kerngruppe KGS Notfallplanung ; 16:00-17:00 Intervision Si-BSc; 22:00-23:59 closed/not bookable
HG G 019.1,HG,58,Seminars / Courses,FREE,10:00,22:00,00:00-08:00 closed/not bookable; 08:00-10:00 Numerical Methods for CSE; 22:00-23:59 closed/not bookable
HG G 019.2,HG,36,Seminars / Courses,FREE,08:00,22:00,00:00-08:00 closed/not bookable; 22:00-23:59 closed/not bookable
HG G 030.006,HG,,Exhibition space,FREE,08:00,22:00,00:00-08:00 closed/not bookable; 22:00-23:59 closed/not bookable
HG G 043,HG,30,Seminars / Courses,FREE,08:00,15:00,00:00-08:00 closed/not bookable; 15:00-17:00 Analysis Seminar; 22:00-23:59 closed/not bookable
HG G 060,HG,95,Multipurpose room,FREE,08:00,22:00,00:00-08:00 closed/not bookable; 22:00-23:59 closed/not bookable
HG J 029.7,HG,16,Meeting room,FREE,08:00,22:00,00:00-08:00 closed/not bookable; 22:00-23:59 closed/not bookable
HG K 030.1,HG,40,Seminars / Courses,FREE,08:00,16:00,00:00-08:00 closed/not bookable; 16:00-19:00 Engineering Design and Material Selection; 22:00-23:59 closed/not bookable
IFW E 042,IFW,24,Seminars / Courses,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LEE E 308,LEE,40,Multipurpose room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LEE F 118,LEE,18,Meeting room,FREE,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Doctoral Workshop: Astute Modelling; 20:00-23:59 closed/not bookable
LFO C 019,LFO,,Computer,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFV B 042.1,LFV,,Laboratory internship,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFV B 042.2,LFV,,Laboratory internship,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFV C 042,LFV,,Laboratory internship,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFV E 011,LFV,12,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFW B 052,LFW,12,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFW D 012,LFW,16,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
LFW E 011,LFW,,Microscopy,FREE,14:00,20:00,00:00-08:00 closed/not bookable; 12:00-14:00 Grundlagen der Mikroskopie und Pflanzenbiologie; 20:00-23:59 closed/not bookable
LFW E 015,LFW,,Microscopy,FREE,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Pflanzenpathologie III; 20:00-23:59 closed/not bookable
ML F 036,ML,123,Lecture hall,FREE,13:00,20:00,00:00-08:00 closed/not bookable; 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4 DZ); 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4); 12:00-13:00 Behind the Lectures: MAVT Professors Unplugged; 20:00-23:59 closed/not bookable
ML H 034.1,ML,,Computer,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ML H 051.1,ML,18,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ML J 026,ML,20,Meeting room,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
NO CO 001.1,NO,,Computer,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
NO D 001,NO,24,Seminars / Courses,FREE,10:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Magmatismus und Metamorphose I; 16:00-18:00 Dynamische Erde I; 20:00-23:59 closed/not bookable
NO D 039,NO,32,Seminars / Courses,FREE,14:00,20:00,00:00-08:00 closed/not bookable; 12:00-14:00 GIS I: Grundlagen der Geografischen Informationssysteme; 20:00-23:59 closed/not bookable
NO D 045,NO,80,Seminars / Courses,FREE,08:00,20:00,00:00-08:00 closed/not bookable; 20:00-23:59 closed/not bookable
ZUE G 001,ZUE,30,Lecture hall,FREE,open,close,
CAB G 011,CAB,193,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Rehabilitation Engineering II: Rehabilitation of Sensory and Vegetative Functions; 10:00-12:00 Probability Theory; 14:00-16:00 Using R for Data Analysis and Graphics (Part I); 16:00-18:00 Biostatistics; 20:00-23:59 closed/not bookable
