room,building,seats,type,status,free_from,free_until,bookings_that_day
HG E 022,HG,48,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Seminar für Bachelor-Studierende: Mensch-Umwelt Systeme; 12:00-14:00 Can there be an Alternative Mathematics? Should there be?; 14:00-16:00 Theoretische Informatik; 16:00-18:00 Signal- und Systemtheorie I; 22:00-23:59 closed/not bookable
HG E 023,HG,38,Seminars / Courses,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-22:00 Blockkurse HS26; 22:00-23:59 closed/not bookable
HG E 030.0025,HG,,Exhibition space,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-21:45 Mental Health Awareness Days; 22:00-23:59 closed/not bookable
HG E 033.1,HG,50,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 12:00-14:00 Leadership I; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Informatik; 22:00-23:59 closed/not bookable
HG E 033.3,HG,50,Seminars / Courses,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 09:00-10:00 Computational Thinking; 10:00-12:00 Militärpsychologie und -pädagogik I; 12:00-14:00 Behavioral Studies Colloquium; 14:00-16:00 Mathematik I; 22:00-23:59 closed/not bookable
HG E 033.5,HG,40,Seminars / Courses,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Elektrotechnik I; 12:00-13:00 Numerical Methods for Elliptic and Parabolic Partial Differential Equations; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Analysis I: eine Variable; 22:00-23:59 closed/not bookable
HG E 042,HG,32,Meeting room,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-22:00 Fenstersanierung 2026; 22:00-23:59 closed/not bookable
HG EO 030.0075,HG,,Exhibition space,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 11:00-15:00 Doktorprüfung ; 22:00-23:59 closed/not bookable
HG F 001,HG,346,Lecture hall,BUSY,12:00,22:00,00:00-08:00 closed/not bookable; 08:00-10:00 Chemie I; 10:00-12:00 Allgemeine Chemie (für Biol./Pharm.Wiss.); 14:00-16:00 Materials and Mechanics in Medicine; 22:00-23:59 closed/not bookable
HG F 003,HG,279,Lecture hall,BUSY,12:00,22:00,00:00-08:00 closed/not bookable; 08:00-10:00 Chemie I; 10:00-12:00 Allgemeine Chemie (für Biol./Pharm.Wiss.); 14:00-18:00 Discrete-Time and Statistical Signal Processing; 22:00-23:59 closed/not bookable
HG F 005,HG,273,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Mathematik I; 13:00-14:00 Natural Language Processing; 14:00-16:00 Informatik; 16:00-18:00 Introduction to Mathematical Optimization; 22:00-23:59 closed/not bookable
HG F 007,HG,346,Lecture hall,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Mathematik I; 10:00-11:00 Funktionentheorie (Complex Analysis); 11:00-12:00 Mathematische Methoden der Physik I; 12:00-13:00 Model Predictive Control; 14:00-16:00 Informatik; 16:00-18:00 Structural Graph Theory; 22:00-23:59 closed/not bookable
HG F 026.1,HG,40,Seminars / Courses,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-22:00 Blockkurse HS26; 22:00-23:59 closed/not bookable
HG F 026.3,HG,46,Seminars / Courses,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-22:00 Blockkurse HS26; 22:00-23:59 closed/not bookable
HG F 026.5,HG,46,Seminars / Courses,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4 DZ); 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4); 12:00-14:00 K.Lewis - Advanced academic writing: Moving towards the thesis; 14:00-17:00 Unterstützung und Diagnose von Wissenserwerbsprozessen (EW3); 22:00-23:59 closed/not bookable
HG F 033.4,HG,14,Meeting room,BUSY,12:00,22:00,00:00-08:00 closed/not bookable; 11:00-12:00 Gruppenmeeting Bes-MSc (StS); 13:30-15:00 FV-Leitungsmeeting ; 22:00-23:59 closed/not bookable
HG F 050.3,HG,17,Meeting room,BUSY,08:00,22:00,00:00-08:00 closed/not bookable; 08:00-19:00 Meeting Präsident J. Mesot  ; 22:00-23:59 closed/not bookable
HG F 060.0029,HG,,Exhibition space,BUSY,08:00,15:00,08:00-22:00 Sperrung wegen Fenstersanierung; 00:00-08:00 closed/not bookable; 15:00-21:45 Einführungs- und Abschiedsvorlesungen (HS 2026); 22:00-23:59 closed/not bookable
HG G 001,HG,,Computer,BUSY,08:00,16:00,00:00-08:00 closed/not bookable; 12:00-16:00 Hands-On Deep Learning; 16:00-19:00 Engineering Design and Material Selection; 22:00-23:59 closed/not bookable
HG G 003,HG,278,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Immunology I; 10:00-12:00 Visual Computing; 14:00-16:00 Management of Digital Transformation; 16:00-18:00 Mathematik IV: Statistik (Mathematics IV: Statistics); 18:00-20:00 Technology Entrepreneurship; 22:00-23:59 closed/not bookable
HG G 005,HG,279,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Robot Dynamics; 12:00-14:00 Algebra I; 14:00-16:00 Renewable Energy Technologies; 16:00-17:00 Renewable Energy Technologies; 22:00-23:59 closed/not bookable
HG G 026.1,HG,50,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4 DZ); 09:00-12:00 Bewältigung psychosozialer Anforderungen im Lehrberuf (EW4); 12:00-14:00 Philosophical Ethics of Digital Media; 14:00-16:00 Mathematik I; 16:00-18:00 Analysis I: eine Variable; 22:00-23:59 closed/not bookable
HG G 026.3,HG,30,Seminars / Courses,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Berufspraktische Übungen I; 10:00-13:00 Fachdidaktik Mathematik I; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Informatik; 22:00-23:59 closed/not bookable
HG G 026.5,HG,50,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Frontiers in Nanotechnology; 12:00-13:00 Mathematics; 13:00-14:00 Mathematics; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Analysis I: eine Variable; 22:00-23:59 closed/not bookable
IFW A 032.1,IFW,72,Lecture hall,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 10:00-12:00 Ausgewählte Kapitel der Physikalischen Chemie; 14:00-18:00 Industrial Process Control; 20:00-23:59 closed/not bookable
IFW A 034,IFW,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Sozialpsychologie der Gruppe; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Kommandantenstunde 3. Semester; 20:00-23:59 closed/not bookable
IFW A 036,IFW,176,Lecture hall,BUSY,11:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 Die Rolle von Technologie in nationaler und internationaler Sicherheitspolitik; 10:00-11:00 Causality; 14:00-16:00 Strategische Studien I; 20:00-23:59 closed/not bookable
IFW B 042,IFW,32,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Philosophische Theorien der Klima(un)gerechtigkeit; 12:00-14:00 A History of the Modern World through Body Parts; 14:00-16:00 Technische Mechanik; 16:00-19:00 U. Gösken -  Arabisch I A1.1; 20:00-23:59 closed/not bookable
IFW C 031,IFW,30,Seminars / Courses,BUSY,14:00,16:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Richard Powers’ Playground: Oceans, AI, and the Anthropocene; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 The Trolley Problem and Ethics for Autonomous Vehicles; 18:00-20:00 C. Consani - German 3; A2; 20:00-23:59 closed/not bookable"
IFW C 033,IFW,36,Seminars / Courses,BUSY,14:00,16:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Methods I: Research Design, Qualitative Methods, and Data Collection; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Mathematik III; 16:00-18:00 Mathematik III; 18:00-20:00 Media of the Future; 20:00-23:59 closed/not bookable"
IFW C 035,IFW,18,Seminars / Courses,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-10:00 Tree Genetics – Concepts and Applications; 10:00-12:00 Thermodynamics Applied to Earth Materials; 14:00-18:00 Technology Pathways for the Energy Transition; 20:00-23:59 closed/not bookable
IFW C 042,IFW,30,Seminars / Courses,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 08:00-20:00 Blockkurse HS26; 20:00-23:59 closed/not bookable
IFW D 042,IFW,24,Seminars / Courses,BUSY,14:00,20:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Human-Centered Security & Privacy Lab; 12:00-14:00 Data Science, AI, and Human Rights; 14:00-16:00 Technische Mechanik; 20:00-23:59 closed/not bookable"
LEE C 104,LEE,35,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-12:00 Laboratory Course in Medical Technology; 14:00-16:00 Methods II: Tutorial; 16:00-17:00 Materials and Mechanics in Medicine; 18:00-20:00 Grundlagen der Wissenschaftstheorie für den naturwissenschaftlichen Unterricht; 20:00-23:59 closed/not bookable
LEE C 114,LEE,40,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-12:00 Laboratory Course in Medical Technology; 14:00-16:00 Intermediate Econometrics; 16:00-18:00 Die Gestaltung schulischer Lernumgebungen im Sport (EW2 Sport); 20:00-23:59 closed/not bookable
LEE D 101,LEE,40,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 O. Martin – German 5: A2.2-B1.1; 10:00-12:00 O. Martin – German 3: A2.1; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable
LEE D 105,LEE,40,Seminars / Courses,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 09:00-12:00 Adaptive Materials for Structural Applications; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable
LEE E 101,LEE,62,Lecture hall,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 10:00-20:00 Departementskonferenz D-MAVT 2026; 20:00-23:59 closed/not bookable
LEE E 126,LEE,20,Meeting room,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 08:00-17:00 Workshop Assisted Migration ; 20:00-23:59 closed/not bookable
LFO C 013,LFO,87,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Food Rheology; 10:00-12:00 Physics of Food Colloids; 14:00-16:00 Mathematik I: Analysis I und Lineare Algebra; 16:00-18:00 Analysis I: eine Variable; 20:00-23:59 closed/not bookable
LFV E 041,LFV,70,Seminars / Courses,BUSY,14:00,16:00,"00:00-08:00 closed/not bookable; 09:00-12:00 The Physics of Space Weather; 12:00-14:00 Analysis III; 14:00-16:00 Food, Habits and Health; 16:00-18:00 Signal- und Systemtheorie I; 20:00-23:59 closed/not bookable"
LFW B 001,LFW,82,Lecture hall,BUSY,12:00,20:00,00:00-08:00 closed/not bookable; 08:00-12:00 Futtermittel und Fütterung beim Wiederkäuer; 14:00-18:00 Wissenschaftliches Arbeiten Teil II: Wissenschaftliches Schreiben; 20:00-23:59 closed/not bookable
LFW B 002,LFW,36,Seminars / Courses,BUSY,12:00,16:00,"00:00-08:00 closed/not bookable; 08:00-10:00 Socioeconomics of Agriculture; 10:00-12:00 The Social Brain: Critical Perspectives on Science, Society and Neurodiversity; 14:00-16:00 Theoretische Informatik; 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable"
LFW B 003,LFW,36,Seminars / Courses,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 08:00-20:00 Blockkurse HS26; 20:00-23:59 closed/not bookable
LFW C 001,LFW,40,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 12:00-14:00 Random Hyperbolic Surfaces; 14:00-16:00 Mathematik III; 16:00-18:00 Mathematik III; 20:00-23:59 closed/not bookable
LFW C 004,LFW,50,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Applied Bioinformatics: Microbiomes; 12:00-14:00 Insect Ecology; 14:00-16:00 Environmental Analytical Chemistry; 16:00-18:00 Informatik; 20:00-23:59 closed/not bookable
LFW C 005,LFW,78,Lecture hall,BUSY,12:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Physiology; 10:00-12:00 Werkzeugmaschinen; 14:00-16:00 Mathematik I: Analysis I und Lineare Algebra; 16:00-18:00 Lineare Algebra; 20:00-23:59 closed/not bookable
LFW C 011,LFW,30,Seminars / Courses,BUSY,14:00,16:00,"00:00-08:00 closed/not bookable; 08:00-10:00 Bioactive Feed Compounds and Enriched Food Products; 10:00-12:00 Introduction to Research on Science, Technology, and Policy; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable"
LFW E 013,LFW,40,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Lineare Algebra; 20:00-23:59 closed/not bookable
ML D 028,ML,308,Lecture hall,BUSY,12:00,16:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Einführung in die Programmierung; 14:00-16:00 Algorithms, Probability, and Computing; 16:00-18:00 Machine Learning in Finance and Insurance; 20:00-23:59 closed/not bookable"
ML E 012,ML,121,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Einführung in die Programmierung; 12:00-14:00 Analysis III; 14:00-16:00 Analysis III; 16:00-18:00 Advanced Topics in Communication Networks; 20:00-23:59 closed/not bookable
ML E 013,ML,21,Meeting room,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 08:00-20:00 The Power of Study Design; 20:00-23:59 closed/not bookable
ML F 034,ML,61,Lecture hall,BUSY,14:00,15:00,"00:00-08:00 closed/not bookable; 08:00-10:00 Process Design and Safety; 10:00-12:00 Principles, Efficiency Optimization and Future Applications of IC Engines; 12:00-13:00 Principles, Efficiency Optimization and Future Applications of IC Engines; 13:00-14:00 Process Design and Safety; 14:00-15:00 Probability Theory; 15:00-16:00 Probability Theory; 16:00-18:00 Lineare Algebra; 20:00-23:59 closed/not bookable"
ML F 038,ML,62,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Anatomy and Physiology for Medical Physicists I; 10:00-12:00 Single Molecule Biosensors; 12:00-13:00 Single Molecule Biosensors; 13:00-14:00 Applied Category Theory for Engineering I; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable
ML F 039,ML,83,Lecture hall,BUSY,14:00,17:00,"00:00-08:00 closed/not bookable; 10:00-12:00 Krebs: Grundlagen, Ursachen und Therapie; 12:00-14:00 Aerospace Propulsion; 14:00-16:00 Technische Mechanik; 17:00-18:00 Aerospace Propulsion; 20:00-23:59 closed/not bookable"
ML F 040,ML,40,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Student Seminar on Mathematics of Data Science: Efficient Sampling of Quadratic Gibbs Measures; 12:00-14:00 S. Perotti – Intermediate German B2; Course for Professors; 14:00-16:00 Bachelor-Seminar I; 16:00-18:00 Informatik; 20:00-23:59 closed/not bookable
ML H 034.3,ML,24,Seminars / Courses,BUSY,12:00,18:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Gewöhnliche Differentialgleichungen; 14:00-16:00 Mathematik I; 18:00-20:00 Algorithms Lab; 20:00-23:59 closed/not bookable
ML H 037.1,ML,68,Seminars / Courses,BUSY,08:00,19:00,00:00-08:00 closed/not bookable; 08:00-19:00 Therapeutic Skills II; 08:00-19:00 Therapeutic Skills I; 19:00-22:00 ETH Big Band; 20:00-23:59 closed/not bookable
ML H 041.1,ML,48,Seminars / Courses,BUSY,13:00,15:00,00:00-08:00 closed/not bookable; 08:00-10:00 Research Seminar in Fluid Dynamics; 10:00-13:00 Imaging in Fluid Dynamics; 14:00-15:00 Probability Theory; 15:00-16:00 Probability Theory; 16:00-17:00 Materials and Mechanics in Medicine; 20:00-23:59 closed/not bookable
ML H 043,ML,32,Seminars / Courses,BUSY,08:00,20:00,00:00-08:00 closed/not bookable; 08:00-20:00 Blockkurse HS26; 20:00-23:59 closed/not bookable
ML H 044,ML,199,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Introduction to Marketing; 10:00-12:00 Economic Dynamics and Complexity; 12:00-13:00 Economic Dynamics and Complexity; 13:00-14:00 Privacy Enhancing Technologies; 14:00-16:00 Security of Wireless Networks; 16:00-18:00 Analysis I: eine Variable; 20:00-23:59 closed/not bookable
ML J 034.1,ML,36,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 Elektrotechnik I; 12:00-14:00 D. Camorani – The art of speaking: Advanced discussion and vocabulary C1-C2; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Lineare Algebra; 20:00-23:59 closed/not bookable
ML J 034.3,ML,30,Seminars / Courses,BUSY,13:00,16:00,"00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-13:00 Material Characterization by X-ray Techniques: Diffraction, Absorption, Total Scattering; 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable"
ML J 037.1,ML,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Informatik I; 10:00-12:00 P. Blöchlinger – German 1: A1.1; 12:00-14:00 Introduction to Stochastic Optimal Control; 14:00-16:00 Theoretische Informatik; 16:00-18:00 Analysis I: eine Variable; 20:00-23:59 closed/not bookable
MM C 078.1,MM,80,Multipurpose room,BUSY,14:00,22:00,00:00-08:00 closed/not bookable; 08:00-12:00 Gesperrt für Facility Services 2026; 12:00-14:00 VPWW All Hands Meeting; 14:00-22:00 Gesperrt für Facility Services 2026; 22:00-23:59 closed/not bookable
NO C 006,NO,71,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-12:00 Integrierte Erdsysteme II; 12:00-14:00 Funktionentheorie (Complex Analysis); 14:00-16:00 Funktionentheorie (Complex Analysis); 16:00-18:00 Mathematische Methoden der Physik I; 20:00-23:59 closed/not bookable
NO C 044,NO,71,Lecture hall,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Kristalle und Mineralien; 12:00-14:00 Funktionentheorie (Complex Analysis); 14:00-16:00 Planetary Sciences: a Physical Perspective; 14:00-16:00 Introduction to Planetary Sciences; 16:00-18:00 Cell Biophysics; 20:00-23:59 closed/not bookable
NO C 060,NO,275,Lecture hall,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 10:00-12:00 Umweltsysteme I; 12:00-13:00 Colloquium Department Earth and Planetary Sciences; 14:00-16:00 Dynamische Erde I; 16:00-18:00 Psychedelic Science: Psychology Pharmacology Physiology Psychotherapy Philosophy Sociology Religion; 20:00-23:59 closed/not bookable
NO D 011,NO,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-12:00 Integrierte Erdsysteme II; 12:00-13:00 Ingenieurgeologie; 13:00-14:00 Ingenieurgeologie; 14:00-16:00 Sedimentology I: Physical Processes and Sedimentary Systems; 16:00-18:00 Economics for Actuaries; 20:00-23:59 closed/not bookable
NO D 069,NO,24,Seminars / Courses,BUSY,10:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Magmatismus und Metamorphose I; 14:00-16:00 Physical Properties of Minerals; 16:00-18:00 Microscopy of Metamorphic Rocks; 20:00-23:59 closed/not bookable
NO E 011,NO,30,Seminars / Courses,BUSY,13:00,16:00,00:00-08:00 closed/not bookable; 08:00-10:00 Dynamische Erde I; 10:00-12:00 Collisional Kinetic Theory: Entropy and Fisher Information; 12:00-13:00 Mechanik I; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Dynamische Erde I; 20:00-23:59 closed/not bookable
NO E 039,NO,30,Seminars / Courses,BUSY,14:00,16:00,00:00-08:00 closed/not bookable; 08:00-12:00 Rock Mechanics and Rock Engineering; 12:00-14:00 Interview-Übungen für 252-0025-01L Diskrete Mathmatik; 14:00-16:00 Diskrete Mathematik; 16:00-18:00 Dynamische Erde I; 20:00-23:59 closed/not bookable
RZ D 008,RZ,80,Seminars / Courses,BUSY,14:00,20:00,00:00-08:00 closed/not bookable; 08:00-12:00 Phytotherapie interprofessionell; 12:00-14:00 Vitra Test Slots; 14:00-18:00 Innovationsprojekt; 20:00-23:59 closed/not bookable
RZ F 021,RZ,64,Seminars / Courses,BUSY,11:00,16:00,00:00-08:00 closed/not bookable; 08:00-11:00 Medical Technology Innovation - From Concept to Clinics; 14:00-16:00 Technische Mechanik; 16:00-18:00 Gleise und Grenzerfahrungen: Eine Literaturgeschichte der Eisenbahn; 20:00-23:59 closed/not bookable
CAB E 009.001,CAB,,Exterior event areas,NO DATA,,,
CAB E 009.002,CAB,,Exterior event areas,NO DATA,,,
CAB E 097.001,CAB,,Exterior event areas,NO DATA,,,
CAB E 098.001,CAB,,Exterior event areas,NO DATA,,,
CAB G 010.0055,CAB,,Exhibition space,NO DATA,,,
CHN D 008,CHN,,Multipurpose room,NO DATA,,,
CLA D 005.001,CLA,,Exhibition space,NO DATA,,,
ETF C 106,ETF,,Exercises,NO DATA,,,
ETL C 023.2,ETL,,Laboratory internship,NO DATA,,,
ETL D 010.1,ETL,,Exercises,NO DATA,,,
ETL F 031,ETL,159,Training room,NO DATA,,,
ETL G 010.1,ETL,10,Training room,NO DATA,,,
ETL I 010.1,ETL,10,Meeting room,NO DATA,,,
ETZ D 097.1,ETZ,,Laboratory internship,NO DATA,,,
ETZ E 060.0032,ETZ,,Exhibition space,NO DATA,,,
ETZ E 090.1,ETZ,,Exhibition space,NO DATA,,,
ETZ E 090.2,ETZ,,Exhibition space,NO DATA,,,
GLC E 010.002,GLC,,Exhibition space,NO DATA,,,
GLC E 010.003,GLC,,Exterior event areas,NO DATA,,,
HAA E 003,HAA,22,Meeting room,NO DATA,,,
HG F 030.0029,HG,,Exhibition space,NO DATA,,,
HG G 060.0025,HG,,Exhibition space,NO DATA,,,
HG J 031.5,HG,16,Meeting room,NO DATA,,,
HG KO 033,HG,,Computer,NO DATA,,,
LEE E 100.005,LEE,,Exhibition space,NO DATA,,,
LEH C 005,LEH,12,Meeting room,NO DATA,,,
LFW B 041,LFW,,Exhibition space,NO DATA,,,
LFW D 010.2,LFW,,Exterior event areas,NO DATA,,,
LFW E 055,LFW,,Laboratory internship,NO DATA,,,
ML E 030.003,ML,,Exhibition space,NO DATA,,,
ML J 034.2,ML,,Computer,NO DATA,,,
MM D 080.1,MM,,Exterior event areas,NO DATA,,,
MM D 080.2,MM,,Exterior event areas,NO DATA,,,
MM D 080.3,MM,,Exterior event areas,NO DATA,,,
MM D 080.4,MM,,Exterior event areas,NO DATA,,,
PFA G 044,PFA,10,Meeting room,NO DATA,,,
SEC B 003,SEC,14,Meeting room,NO DATA,,,
